Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,328.7276306152344,28865100
2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,323.0909423828125,32674300
2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,310.6881408691406,40054300
2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,308.2331848144531,39646100
2022-01-07,314.1499938964844,316.5,310.0899963378906,314.0400085449219,308.3902587890625,32720000
2022-01-10,309.489990234375,314.7200012207031,304.69000244140625,314.2699890136719,308.6160583496094,44289500
2022-01-11,313.3800048828125,316.6099853515625,309.8900146484375,314.9800109863281,309.3133544921875,29386800
2022-01-12,319.6700134277344,323.4100036621094,317.0799865722656,318.2699890136719,312.5441589355469,34372200
2022-01-13,320.4700012207031,320.8800048828125,304.0,304.79998779296875,299.31646728515625,45366000
2022-01-14,304.25,310.82000732421875,303.75,310.20001220703125,304.6193542480469,39846400
2022-01-18,304.07000732421875,309.79998779296875,301.739990234375,302.6499938964844,297.2052001953125,42333200
2022-01-19,306.2900085449219,313.9100036621094,302.70001220703125,303.3299865722656,297.8729248046875,45933900
2022-01-20,309.07000732421875,311.6499938964844,301.1400146484375,301.6000061035156,296.174072265625,35380700
2022-01-21,302.69000244140625,304.1099853515625,295.6099853515625,296.0299987792969,290.7042541503906,57984400
2022-01-24,292.20001220703125,297.1099853515625,276.04998779296875,296.3699951171875,291.0381164550781,85731500
2022-01-25,291.5199890136719,294.989990234375,285.1700134277344,288.489990234375,283.29986572265625,72848600
2022-01-26,307.989990234375,308.5,293.0299987792969,296.7099914550781,291.3719787597656,90428900
2022-01-27,302.6600036621094,307.29998779296875,297.92999267578125,299.8399963378906,294.4457092285156,53481300
2022-01-28,300.2300109863281,308.4800109863281,294.45001220703125,308.260009765625,302.71429443359375,49743700
2022-01-31,308.95001220703125,312.3800048828125,306.3699951171875,310.9800109863281,305.38525390625,46444500
2022-02-01,310.4100036621094,310.6300048828125,305.1300048828125,308.760009765625,303.20526123046875,40950400
2022-02-02,309.6300048828125,315.1199951171875,308.8800048828125,313.4599914550781,307.8206787109375,36636000
2022-02-03,309.489990234375,311.2300109863281,299.9599914550781,301.25,295.830322265625,43730000
2022-02-04,300.2099914550781,308.79998779296875,299.9700012207031,305.94000244140625,300.43597412109375,35096500
